Drawing Number,Material,Program Number,G76 Block 1,G76 Block 2,Machine
JEFD0304011 D,304,0239-3SP,G76P020055Q00250R.0,  G76X.3767Z-.38P03067Q03067F.05,CHNC III
JEFD0304040 B,304L,0240-3SP,G76P020060Q00200R.0005,  G76X.3767Z-.38P03067Q03067F.05,CHNC III
JEFD0304040 B,304L,0241-3SP,G76P020060Q00250R.0005,  G76X.3767Z-.38P03067Q03067F.05,CHNC III
JEFD0304381 A,304L,0245-2SP,G76P020060Q00200R.0005,  G76X.4945Z-.39P03407Q03407F.05555,CHNC III
JEFD0304381 A,304L,0245-3SP,G76P020060Q00200R.0005,  G76X.4945Z-.39P03407Q03407F.05555,CHNC III
JEFD0304381 A,304L,0246-3SP,G76P020060Q00200R.0005,  G76X.4945Z-.39P03407Q03407F.05555,CHNC III
JEFD0365500 A,304,0272-3SP,G76P020060Q00200R.0005,  G76X.3767Z-.48P03067Q03067F.05,CHNC III
JEFD0365500 A,304,0273-3SP,G76P020060Q00250R.0005,  G76X.3767Z-.48P03067Q03067F.05,CHNC III
REFD0501310 B,6AL-4V,0287-3SP,G76P030060Q00100R.0005,  G76X.2812Z-.15P01691Q01691F.03125,CHNC III
REFD0501310 B,6AL-4V,0288-3SP,G76P030060Q00100R.0005,  G76X.2812Z-.15P01691Q01691F.03125,CHNC III
VDCD0305010 G,303,0318-3SP,G76 P020060Q00200R0.00050,  G76X0.25732Z-.63484P01930Q01930F0.03571,CHNC III
VXLD0301000 F,304,0341-3SP,G76P020060Q00250R.0005,  G76X.3767Z-.48P03067Q03067F.05,CHNC III
JEFD0302410 A,304,0412-3SP,G76P020060Q00200R.0005,  G76X.674Z-.516P03834Q03834R0.F.0625,CHNC III
JEFD0302410 A,304,0413-3SP,G76P020060Q00200R.0005,  G76 X.674 Z-.516 P03834 Q03834 R0. F.0625,CHNC III
JEFD0302570 A,15-5PH,0508-3SP,G76P020060Q00250R.0005,  G76X.3762Z-.320P03065Q03065F.05,CHNC III
JEFD0302570 A,15-5PH,0509-3SP,G76P020060Q00250R.0005,  G76X.3762Z-.390P03065Q03065F.05,CHNC III
VXLD0500510 C,304,0510.P-1,G76P020060Q0020R.0005,  G76X.3762Z-.410P0307Q0307F.05,NTY-3
VXLD0500510 C,304,0510.P-2,G76P020060Q0020R.0005,  G76X.3762Z-.410P0307Q0307F.05,NTY-3
VXLD0500510 C,304,0510_P1.txt,G76P020060Q0020R.0005,  G76X.3762Z-.410P0307Q0307F.05,NTY-3
VXLD0500510 C,304,0510_P2.txt,G76P020060Q0020R.0005,  G76X.3762Z-.410P0307Q0307F.05,NTY-3
JHBD0200010 C,17-4PH,0566-GT,G76P030060Q00150R.0005,  G76X.136Z-.072P01095Q01095F.01785,GT
JEFD0303400 G,304,0576-GT,G76P020060Q00250R.0005,  G76X.3767Z-.48P03067Q03067F.05,GT
JEFD0301230 A,2024-T6,0580-GT,G76P020060Q00200R.0005,  G76X.3767Z-.48P03067Q03067F.05,GT
JEFD0365500 A,304,0693-TTM,G76P030060Q0025R.0005,  G76X.3767Z-.48P0306Q0306F.05,TWIN TURN
JEFD0365500 A,304,0694-TTS,G76P030060Q0025R.0005,  G76X.3767Z.48P0306Q0306F.05,TWIN TURN
VDLD0501090 B,304L,0708-3SP,G76P010060Q00250R.0005,  G76X.2577Z-.335P02556Q02556F.0417,CHNC III
JEFD0302430 A,304L,0720-TTM,G76P030060Q0025R.0005,  G76X.3716Z-.415P0306Q0306F.05,TWIN TURN
JEFD0302430 A,304L,0721-TTS,G76P030060Q0025R.0005,  G76X.4898Z.425P0340Q0340F.0556,TWIN TURN
JEFD0317600 A,316,0738-3SP,G76P020060Q00250R.0005,  G76X.4999Z-.42P03067Q03067F.050,CHNC III
JEFD0317600 A,316,0739-3SP,G76P020060Q00250R.0005,  G76X.4999Z-.42P03067Q03067F.050,CHNC III
JEFD0302590 A,316,0749-TTM,G76P020060Q0030R.0,  G76X.4898Z-1.0488P0341Q0341F.0556,TWIN TURN
JEFD0302450 B,304L,0761-TTM,G76P020060Q0030R.0005,  G76 X.4898 Z-.525 P0341 Q0341 F.0556,TWIN TURN
JEFD0302450 B,304L,0762-TTS,G76P020060Q0030R.0005,  G76 X.4898 Z.525 P0341 Q0341 F.0556,TWIN TURN
JEFD0302450 B,304L,0763-3SP,G76P010060Q00300R.0005,  G76 X.372 Z-.48 P03067 Q03067 F.05,CHNC III
VHCD0505460 A,316,0765-3SP,G76P011560Q00200R.0005,  G76X.564Z-.480R-.0215P03010Q03010F.0556,CHNC III
VHCD0505460 A,316,0766-3SP,G76P011560Q00150R.0005,  G76 X.4882 Z-.6 R.0253 P03408 Q03408 F.0556,CHNC III
