Drawing Number,Material,Program Number,G76 Block 1,G76 Block 2,Machine
JEFD0510790 A,7075-T73,0971-TTM,G76P020060Q0025R.0005,  G76X.3717Z-.510P0307Q0307F.05,TWIN TURN
JEFD0510790 A,7075-T73,0972-TTS,G76P020060Q0025R.0005,  G76X.3717Z.510P0307Q0307F.05,TWIN TURN
VDLD0408040 B,304L,0973-T42,G76P020060Q00250R.0005,  G76X.3767Z-.3355P03067Q03067F.05,T-42
VDLD0408030 C,304L,0975-T42,G76P020060Q00250R.0005,  G76X.3767Z-.4675P03067Q03067F.05,T-42
JEFD0510850 A,7075,0975-TTM,G76P020060Q0025R.0005,  G76X.3717Z-.510P0307Q0307F.05,TWIN TURN
JEFD0510850 A,7075,0976-TTS,G76P020060Q0025R.0005,  G76X.3717Z.510P0307Q0307F.05,TWIN TURN
JEFD0510830 A,7075-T7351,0979-TTM,G76P020060Q0025R.0005,  G76X.3717Z-.510P0307Q0307F.05,TWIN TURN
JEFD0510830 A,7075-T7351,0980-TTS,G76P020060Q0025R.0005,  G76X.3717Z.510P0307Q0307F.05,TWIN TURN
JEFD0302490 C,304,0981-TTM,G76P020060Q0035R.0005,  G76X.3762Z-.895P0307Q0307F.05,TWIN TURN
VDLD0501090 B,304L,0982-T42,G76P030060Q00200R.0005,  G76X.262Z.325P02555Q02555F.04166,T-42
JEFD0510830 A,7075-T7351,0983-3SP,G76 P020060 Q00250 R.0005,  G76 X.3761 Z-.510 P03067 Q03067 F.05,CHNC III
JEFD0302490 C,304,0984-3SP,G76 P020060 Q00300 R.0005,  G76 X.3761 Z-.525 P03067 Q03067 F.05,CHNC III
JEFD0510840 A,316,0985-TTM,G76 P020060 Q0025 R.0005,  G76 X.3717 Z-.510 P0307 Q0307 F.05,TWIN TURN
JEFD0303900 A,304L,0987-T42,G76 P020060 Q00300 R.0005,  G76 X.7883 Z.565 P04382 Q04382 F.07143,T-42
JEFD0510840 A,316,0988-3SP,G76P020060Q00300R.0005,  G76X.3761Z-.510P03067Q03067F.05,CHNC III
JEFD0319060 C,6AL-4V,0990-T42,G76P020060Q00500R.0005,  G76X0.3762Z0.35P03070Q03070F0.05,T-42
JEFD0319510 B,6AL-4V,0991-T42,G76P020060Q00400R.0005,  G76X0.3864Z0.232P02560Q02560F0.04167,T-42
JEFD0302430 A,304L,0993-T42,G76P020060Q00200R0.0005,  G76X0.3767Z0.430P03070Q03070F0.05,T-42
JEFD0304060 B,304L,1016-3SP,G76P020060Q00200R.0007,  G76X.4945Z-.388P03407Q03407F.05555,CHNC III
JEFD0304060 B,304L,1017-3SP,G76P020060Q00200R.0005,  G76X.4945Z-.388P03407Q03407F.05555,CHNC III
BDPD0501310 C,304L,1025-TTM,G76 P010060 Q0040 R.0005,  G76 X.4375 Z-.1575 P0271 Q0271 F.05,TWIN TURN
